rPRS_gamma_05,ePRS_gamma_05,rPRS_gamma_1,ePRS_gamma_1,rPRS_gamma_15,ePRS_gamma_15
1.991889802,-34.77685363,1.437330933,-73.75081175,2.103851145,-108.3151854
0.538016117,-30.02350207,1.174865315,-59.61570443,0.71433523,-87.19368732
0.827729299,-31.82277124,1.362041074,-59.58177248,0.42113324,-91.97167431
1.835541107,-29.53315689,2.109230329,-53.70254871,2.136650269,-88.73252527
1.971248877,42.86547336,1.964835832,85.64697345,2.422902372,121.9977751
2.002422475,34.73093699,1.600715541,66.48564534,1.86880565,98.88271114
1.027767763,-35.99236894,0.847318613,-83.77702916,1.58686579,-122.8403465
1.489747156,-34.03961972,1.584837241,-71.02083438,2.025358852,-104.0425635
1.512941835,-31.8086298,1.783175726,-70.24680281,0.437612163,-102.9118609
1.937268634,37.95973307,1.226617044,74.78199197,2.048761437,113.5426017
1.345469902,-35.79525462,1.699913174,-70.96546569,0.908465596,-107.4877878
1.519358295,-36.93243545,2.066256949,-73.28748435,2.415821797,-109.4456197
1.507344179,-34.91133924,0.812793279,-77.85919059,1.202156634,-115.0635476
0.889060146,-35.07567902,1.100421584,-68.70153683,1.068622646,-101.8912214
2.077473073,-27.92718291,1.956935571,-58.84346283,2.474059048,-94.72534647
1.871459311,-35.42410146,1.868031567,-70.46499119,2.253822851,-111.59524
1.229353115,32.26617238,2.674157607,63.01753462,2.179178642,93.59305133
1.227035913,-32.42782342,1.525746975,-68.9905866,1.687304575,-105.9804911
0.712654948,-38.16739426,1.670788713,-79.7207444,1.351199653,-125.3332058
1.621699753,-35.34983799,1.376556259,-68.78907902,1.379808887,-102.1905638
1.585595173,-37.58406521,2.335582901,-82.18687664,2.403004805,-120.8443963
1.529045604,-44.04345079,1.65883748,-91.99132097,1.684710161,-134.7594155
2.347720069,-35.40215597,1.392085007,-73.29563618,1.163842962,-111.4807546
1.339160539,-37.60329308,0.940976083,-69.3218783,0.762789529,-104.2224929
1.505352456,-34.60022993,1.18716429,-75.39753384,1.497282768,-117.0289444
1.507034367,-35.19410326,1.499877734,-69.99806712,1.494111242,-106.2681145
1.349498128,-28.75329935,1.516689214,-68.95114703,1.709519346,-99.63250686
1.511938065,-39.65311385,1.506910813,-86.83876274,1.230984868,-130.0332017
1.301947963,-46.89249722,1.881745368,-91.1917977,2.197218117,-135.0681675
1.448729425,36.60995258,2.227694255,75.96830794,2.294573795,111.7593911
1.33114212,-27.01191617,1.051014199,-53.06297282,1.356386893,-78.5390136
1.739240386,-40.81460854,1.673326725,-81.92028407,2.375889017,-122.5149918
1.367770715,43.30011332,1.805886451,87.73791028,1.419122735,130.1602694
1.476811726,-36.32854673,1.55169328,-70.72377761,2.023717583,-111.4055729
1.824976639,35.91685871,1.868201881,71.43873461,2.259134982,105.7118381
1.32241771,-38.8799772,1.690867142,-81.51755908,1.931883811,-118.2327417
0.971422341,-25.08660724,1.415100506,-58.42827522,1.80012774,-91.123664
1.359735049,-31.76217744,2.319855758,-60.86175117,2.262932889,-90.33334375
1.305908157,-31.18687557,1.684004117,-70.25891548,0.792204959,-101.1296057
1.294603696,-32.58019071,2.07518371,-66.17904582,1.658343205,-101.2550333
2.405563132,-39.83282906,2.064932932,-78.02027703,2.3600588,-112.1836291
1.67647797,-38.69397624,1.528485727,-72.86394414,1.153353631,-113.3889975
1.752206979,-40.5640857,0.838840622,-81.04112987,0.979214069,-125.3424687
1.965714347,34.21626994,1.082425707,61.0651793,1.16022464,91.61155658
1.195008061,-32.35061602,1.485219363,-71.08569143,1.084376108,-107.9556205
1.445173863,-40.5312986,1.859834273,-78.37910874,2.13089197,-121.6341206
1.222927165,33.95499903,0.531734184,63.23959431,1.439664953,96.93850622
1.54836189,-33.56809689,1.162800391,-73.53246507,1.451904618,-107.6282025
